"idlqui"|"tipo"|"fec_despacho"|"importa"|"contene_nro"|"merca"|"destino"|"via"|"aduana"|"trans_emp"|"trans_condi"|"despacho_nro"|"zona"|"exportador"|"m_imponible"|"m_ajuste"|"m_factura"|"nro_factura"|"m_flete"|"m_seguro"|"m_cif"|"m_cif_ajuste"|"tc_aduana"|"moneda"|"regime"|"incotern"|"m_ttdespacho"|"m_adelanto"|"m_pagar"|"m_letra"|"observa"|"otro_nombre"|"otro_monto"|"utilidad"
108|"EXPORTACIÓN"|"2022-07-01"|"SANTA ANA TEXTIL S.A."|"-"|"TEJIDOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"TERMINAL DE CARGAS KM 12"|"TENORA LOGISTICA INTERNACIONAL LTDA"|"F.C.L."|"22018EC01001851H"|"MERCOSUR (INTRAZONA)"|"DUBRASIL IMPORTACAO E EXPORTACOA LTDA"|455218884|0|66477.05|"001-002-0000229"|0.0|0.0|66477.05|66477.05|6847.76|"DOLAR"|"EC01"|"FCA"|3600911|0|3600911|"TRES MILLON SEISCIENTOS MIL NOVECIENTOS ONCE "|"NINGUNA"|"OTROS"|0|0.7910284758749155
107|"EXPORTACIÓN"|"2022-06-28"|"SANTA ANA TEXTIL S.A."|"-"|"TEJIDOS"|"BRASIL "|"TERRESTRE"|"TERMINAL DE CARGAS KM 12"|"TENORA LOGISTICA INTERNACIONAL LTDA"|"F.C.L."|"22018EC01001795Y"|"MERCOSUR (INTRAZONA)"|"ZANETTE IMPORTACAO E EXPORTACAO LTDA"|478981695|0|69829.53|"0000226/227/228"|0.0|0.0|69829.53|69829.53|6859.3|"DOLAR"|"EC01"|"FCA"|3649949|0|3649949|"TRES MILLON SEISCIENTOS CUARENTA Y NUEVE MIL NOVECIENTOS CUARENTA Y NUEVE "|"NINGUNA"|"OTROS"|0|0.7620226489031068
105|"IMPORTACIÓN"|"2022-06-29"|"SANTA ANA TEXTIL S.A."|"-"|"CILINDRO"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"AEREO"|"AEROP. SILVIO PETTIROSSI"|"LAN CARGO S.A. SUC. PARAGUAY "|"F.C.L."|"22002IC04013323E"|"EXTRAZONA"|"XIAMEN SINTELLI MACHINERY INDUSTRIAL CO., LTD"|133763652|0|12370.0|"XD 20220414"|7006.0|123.7|19499.7|19499.7|6859.78|"DOLAR"|"IC04"|"FCA"|21643699|14729604|6914095|"SEIS MILLON NOVECIENTOS CATORCE MIL NOVENTA Y CINCO "|"NINGUNA"|"OTROS"|0|16.18055329410414
103|"IMPORTACIÓN"|"2022-06-30"|"SANTA ANA TEXTIL S.A."|"-"|"HILOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANSBH TRANSPORTES LTDA"|"F.C.L."|"22005IC04013105F"|"MERCOSUR (INTRAZONA)"|"FIASUL INDUSTRIA DE FIOS LTDA"|707043498|0|101050.0|"585/2022"|1100.0|1010.5|103160.5|103160.5|6853.82|"DOLAR"|"IC04"|"CPT"|88581238|77505197|11076041|"ONCE MILLONES SETENTA Y SEIS MIL CUARENTA Y UN "|"NINGUNA"|"OTROS"|0|12.528400056088204
102|"IMPORTACIÓN"|"2022-06-29"|"SANTA ANA TEXTIL S.A."|"-"|"HILOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PUENTE - CDE"|"BTR"|"F.C.L."|"22005IC04012892R"|"MERCOSUR (INTRAZONA)"|"HYOSUNG BRASIL IND. E COM. DE FIBRAS LTDA"|231620658|0|32804.35|"HSBR220607-1"|635.0|328.04|33767.39|33767.39|6859.3|"DOLAR"|"IC04"|"EXW"|31506247|25436887|6069360|"SEIS MILLON SESENTA Y NUEVE MIL TRECIENTOS SESENTA "|"NINGUNA"|"OTROS"|0|13.602520289878461
100|"IMPORTACIÓN"|"2022-06-28"|"IMPORTADORA DEALER SOCIEDAD ANONIMA"|"-"|"CTL REM/MOUSE"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"AEREO"|"EMPEDRIL S.A."|"OCACIONAL"|"F.C.L."|"22031IC04004017G"|"MERCOSUR (INTRAZONA)"|"SHENZHEN W&F TEC."|27158075|0|3610.0|"20220330008"|295.0|50.0|3955.0|3955.0|6866.77|"DOLAR"|"IC04"|"EXW"|7580637|1222382|6358255|"SEIS MILLON TRECIENTOS CINCUENTA Y OCHO MIL DOSCIENTOS CINCUENTA Y CINCO "|"NINGUNA"|"OTROS"|0|27.913012980485547
98|"IMPORTACIÓN"|"2022-06-29"|"SANTA ANA TEXTIL S.A."|"-"|"HILOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PUENTE - CDE"|"ENS S.A."|"F.C.L."|"22005IC04012780N"|"MERCOSUR (INTRAZONA)"|"SILVER RING TRADING CO., LIMITED"|419078698|0|53827.2|"SR001497-2022"|6664.49|538.27|61029.96|61029.96|6866.77|"DOLAR"|"IC04"|"CFR "|58503623|46278181|12225442|"DOCE MILLONES DOSCIENTOS VEINTE Y CINCO MIL CUATROCIENTOS CUARENTA Y DOS "|"NINGUNA"|"DERECHO ADUANERO MP "|75434166|13.960056495164544
97|"IMPORTACIÓN"|"2022-06-29"|"SANTA ANA TEXTIL S.A."|"-"|"HILOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PUENTE - CDE"|"ENS S.A."|"F.C.L."|"22005IC04012849T"|"MERCOSUR (INTRAZONA)"|"SILVER RING TRADING CO., LIMITED"|570753436|0|72576.0|"SR001496-2022"|9906.94|725.76|83208.7|83208.7|6859.3|"DOLAR"|"IC04"|"CFR "|78399876|62889224|15510652|"QUINCE MILLONES QUINIENTOS DIEZ MIL SEISCIENTOS CINCUENTA Y DOS "|"SALDO A FAVOR DEL IMPORTADOR EN SISTEMA SOFIA DE 68.449 Gs"|"DERECHO ADUANERO MP "|102735618|13.736207450532106
91|"IMPORTACIÓN"|"2022-06-15"|"SANTA ANA TEXTIL S.A."|"-"|"HILOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PUENTE - CDE"|"ENS S.A."|"F.C.L."|"22005IC04012075K"|"EXTRAZONA"|"WENZHOU WALKER IMPORT AND EXPORT CO., LTD"|355775745|0|45057.6|"WK20211109001E"|6186.58|450.58|51694.76|51694.76|6882.24|"DOLAR"|"IC04"|"CIF"|50664265|39378464|11285801|"ONCE MILLONES DOSCIENTOS OCHENTA Y CINCO MIL OCHOCIENTOS UN "|"NINGUNA"|"DERECHO ADUANERO MP "|49808604|14.240505630871493
90|"IMPORTACIÓN"|"2022-06-16"|"ELECTRO PARANA SRL"|"-"|"DISYUNTORES"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"MARITIMO"|"PUERTOS Y ESTIBAJES "|"TRANSPORTE FLUVIAL PYO"|"F.C.L."|"22024IC04003398T"|"EXTRAZONA"|"TAFFER COMPANY S.A."|1197006623|0|165714.4|"A-1000326"|8219.73|197.2|174131.33|174131.33|6874.16|"DOLAR"|"IC04"|"FOB"|380501923|369346414|11155509|"ONCE MILLONES CIENTO CINCUENTA Y CINCO MIL QUINIENTOS NUEVE "|"NINGUNA"|"OTROS"|0|31.7877876102612
89|"IMPORTACIÓN"|"2022-06-17"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANS FY"|"F.C.L."|"22005IC04012187Y"|"MERCOSUR (INTRAZONA)"|"INDUSTRIA DE MAQUINAS E IMPLEMENTOS AGRICOLAS KF LTDA"|818500097|0|116527.64|"16/2022"|1550.0|1165.28|119242.92|119242.92|6864.14|"DOLAR"|"IC04"|"EXW"|102719449|0|102719449|"CIENTO DOS MILLONES SETECIENTOS DIECINUEVEMIL CUATROCIENTOS CUARENTA Y NUEVE "|"NINGUNA"|"OTROS"|0|12.549717388732331
88|"IMPORTACIÓN"|"2022-06-15"|"SANTA ANA TEXTIL S.A."|"-"|"HILOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PUENTE - CDE"|"ENS S.A."|"F.C.L."|"22005IC04012075K"|"EXTRAZONA"|"WENZHOU WALKER IMPORT AND EXPORT CO., LTD"|355775745|0|45057.6|"WK20211109001E"|6186.58|450.58|51694.76|51694.76|6882.24|"DOLAR"|"IC04"|"CIF"|50664265|39378464|11285801|"ONCE MILLONES DOSCIENTOS OCHENTA Y CINCO MIL OCHOCIENTOS UN "|"NINGUNA"|"DERECHO ADUANERO MP "|49808604|14.240505630871493
87|"EXPORTACIÓN"|"2022-06-14"|"SANTA ANA TEXTIL S.A."|"-"|"HILOS"|"BRASIL "|"TERRESTRE"|"CAMPESTRE"|"SANTA ANA TEXTIL S.A."|"F.C.L."|"22023EC01002422V"|"MERCOSUR (INTRAZONA)"|"ZANETTE IMPORTACAO E EXPORTACAO LTDA"|240816701|0|35008.33|"001-002-0000223/224"|0.0|0.0|35008.33|35008.33|6878.84|"DOLAR"|"EC01"|"FCA"|3432977|0|3432977|"TRES MILLON CUATROCIENTOS TREINTA Y DOS MIL NOVECIENTOS SETENTA Y SIETE "|"NINGUNA"|"OTROS"|0|1.4255560290230866
86|"EXPORTACIÓN"|"2022-06-14"|"SANTA ANA TEXTIL S.A."|"-"|"HILOS"|"BRASIL "|"TERRESTRE"|"CAMPESTRE"|"SANTA ANA TEXTIL S.A."|"F.C.L."|"22023EC01002423W"|"MERCOSUR (INTRAZONA)"|"DUBRASIL IMPORTACAO E EXPORTACOA LTDA"|140267802|0|20391.2|"001-002-0000225"|0.0|0.0|20391.2|20391.2|6878.84|"DOLAR"|"EC01"|"FCA"|3169021|0|3169021|"TRES MILLON CIENTO SESENTA Y NUEVE MIL VEINTE Y UN "|"NINGUNA"|"OTROS"|0|2.2592647455900106
76|"IMPORTACIÓN"|"2022-06-09"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANS FY"|"L.C.L."|"22005IC04011790N"|"MERCOSUR (INTRAZONA)"|"GERALDO N. RECKTENWALD & CIA LTDA"|286174315|0|40598.0|"018PY/2022"|775.0|405.98|41778.98|41778.98|6849.72|"DOLAR"|"IC04"|"FCA"|37396589|0|37396589|"TREINTA Y SIETE MILLONES TRECIENTOS NOVENTA Y SEIS MIL QUINIENTOS OCHENTA Y NUEVE "|"NINGUNA"|"OTROS"|0|13.067765707764513
75|"IMPORTACIÓN"|"2022-06-09"|"PULVEMAQ SOCIEDAD ANONIMA "|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANS FY"|"L.C.L."|"22005IC04011785R"|"MERCOSUR (INTRAZONA)"|"IMASA INDUSTRIA DE MAQUINAS AGRICOLAS LTDA"|121148463|94|16650.91|"599/2022"|775.0|166.51|17592.42|17686.42|6849.72|"DOLAR"|"IC04"|"CPT"|18178700|0|18178700|"DIECIOCHO MILLONES CIENTO SETENTA Y OCHO MIL SETECIENTOS "|"NINGUNA"|"OTROS"|0|15.005307991402251
74|"IMPORTACIÓN"|"2022-05-04"|"PULVIPAR SA"|"-"|"GPS "|"SANTA RITA-ALTO PARANÁ/PY."|"AEREO"|"AEROP. SILVIO PETTIROSSI"|"AEROVIAS CONT AMERICANO AVIANC"|"F.C.L."|"22002IC04008988C"|"EXTRAZONA"|"FJ DINAMICS INTERNATIONAL LIMITED"|86610797|0|11349.36|"202203281111-1"|1248.0|114.64|12712.0|12712.0|6813.31|"DOLAR"|"IC04"|"CIP"|29314336|0|29314336|"VEINTE Y NUEVE MILLONES TRECIENTOS CATORCE MIL TRECIENTOS TREINTA Y SEIS "|"NINGUNA"|"OTROS"|0|33.846052704029496
68|"IMPORTACIÓN"|"2022-06-07"|"LUZKO PACHKO SANDRA LORENA"|"-"|"PRENDAS DE VESTIR "|"JUAN LEON MALLORQUIN"|"TERRESTRE"|"PUENTE - CDE"|"BTR"|"L.C.L."|"22005IC04011601E"|"MERCOSUR (INTRAZONA)"|"KRINDGES INDUSTRIAL S/A"|45957343|0|6242.8|"K-017"|440.0|62.43|6745.23|6745.23|6813.31|"DOLAR"|"IC04"|"FCA"|8467574|355558|8112016|"OCHO MILLON CIENTO DOCE MIL DIECISEIS "|"TOTAL DE MONTO ADELANTO EN CONCEPTO DE DESCUENTO ESPECIAL
PUNTO NÚMERO 14."|"OTROS"|0|18.424855414291464
62|"IMPORTACIÓN"|"2022-06-07"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"BTR"|"L.C.L."|"22005IC04011603G"|"MERCOSUR (INTRAZONA)"|"MOLBOR INDUSTRIA E COMERCIO DE ARTEFATOS DE BORRACHA LTDA - EPP"|41981232|0|5665.0|"247/22"|440.0|56.65|6161.65|6161.65|6813.31|"DOLAR"|"IC04"|"EXW"|7318701|0|7318701|"SIETE MILLON TRECIENTOS DIECIOCHO MIL SETECIENTOS UN "|"NINGUNA"|"OTROS"|0|17.43326875209379
58|"IMPORTACIÓN"|"2022-06-06"|"SANTA ANA TEXTIL S.A."|"-"|"HILOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PUENTE - CDE"|"ENS S.A."|"F.C.L."|"22005IC04011473L"|"EXTRAZONA"|"WENZHOU WALKER IMPORT AND EXPORT CO., LTD"|354327549|0|45360.0|"WK20211109001F"|6191.6|453.6|52005.2|52005.2|6813.31|"DOLAR"|"IC04"|"CIF"|50702455|39351428|11351027|"ONCE MILLONES TRECIENTOS CINCUENTA Y UN MIL VEINTE Y SIETE "|"NINGUNA"|"DERECHO ADUANERO MP LIBERADO "|49761956|14.309487123734767
56|"IMPORTACIÓN"|"2022-06-03"|"ELECTRO PARANA SRL"|"-"|"ARTICULOS DE FERRETERIA "|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"MARITIMO"|"TERPORT"|"CMSP SA"|"F.C.L."|"22038IC04005564V"|"EXTRAZONA"|"FUZHOU POWER ELECTRICAL APPLIANCES CO. LTD."|594530521|0|74389.07|"74389.07"|12700.0|171.09|87260.16|87260.16|6813.31|"DOLAR"|"IC04"|"FOB"|152224285|144205967|8018318|"OCHO MILLON DIECIOCHO MIL TRECIENTOS DIECIOCHO "|"NINGUNA"|"OTROS"|0|25.604116125772457
54|"IMPORTACIÓN"|"2022-06-02"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANS FY"|"L.C.L."|"22005IM04000258U"|"MERCOSUR (INTRAZONA)"|"INDUSTRIA DE MAQUINAS E IMPLEMENTOS AGRICOLAS KF LTDA"|9199739|0|561.52|"15/2022"|775.0|5.62|1342.14|1342.14|6854.53|"DOLAR"|"IM04"|"EXW"|2966759|0|2966759|"DOS MILLON NOVECIENTOS SESENTA Y SEIS MIL SETECIENTOS CINCUENTA Y NUEVE "|"NINGUNA"|"OTROS"|0|32.24829530489941
53|"IMPORTACIÓN"|"2022-06-03"|"SANTA ANA TEXTIL S.A."|"-"|"HILOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PUENTE - CDE"|"ENS S.A."|"F.C.L."|"22005IC04011379Z"|"EXTRAZONA"|"WENZHOU WALKER IMPORT AND EXPORT CO., LTD"|891914316|0|113475.6|"WK20211109001D"|15474.76|1134.76|130085.12|130085.12|6856.39|"DOLAR"|"IC04"|"CIF"|117438046|97764079|19673967|"DIECINUEVEMILLONES SEISCIENTOS SETENTA Y TRES MIL NOVECIENTOS SESENTA Y SIETE "|"NINGUNA"|"DERECHO ADUANERO MP LIBERADO "|124868004|13.166965020438129
52|"IMPORTACIÓN"|"2022-06-01"|"ELECTRO PARANA SRL"|"-"|"ALAMBRES/TEJIDOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"MARITIMO"|"TERPORT"|"COMPAÑIA DE NAVEGACION YSYRY "|"F.C.L."|"22038IC04005516S"|"EXTRAZONA"|"HANA INTERNATIONAL HARDWARE MANUFACTURE CO., LIMITED"|356843453|0|36385.0|"PR220118"|15560.0|83.69|52028.69|52028.69|6858.59|"DOLAR"|"IC04"|"FOB"|96902262|84854001|12048261|"DOCE MILLONES CUARENTA Y OCHO MIL DOSCIENTOS SESENTA Y UN "|"NINGUNA"|"OTROS"|0|27.15539858874754
51|"IMPORTACIÓN"|"2022-06-02"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANS FY"|"F.C.L."|"22005IC04011310B"|"MERCOSUR (INTRAZONA)"|"INDUSTRIA DE MAQUINAS E IMPLEMENTOS AGRICOLAS KF LTDA"|375022304|0|53402.57|"14/2022"|775.0|534.03|54711.6|54711.6|6854.53|"DOLAR"|"IC04"|"EXW"|48787259|0|48787259|"CUARENTA Y OCHO MILLONES SETECIENTOS OCHENTA Y SIETE MIL DOSCIENTOS CINCUENTA Y NUEVE "|"NINGUNA"|"OTROS"|0|13.00916198306968
50|"IMPORTACIÓN"|"2022-06-01"|"ELECTRO PARANA SRL"|"1X40"|"ALAMBRES/TEJIDOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"FLUVIAL"|"TERPORT"|"COMPAÑIA DE NAVEGACION YSYRY "|"F.C.L."|"22038IC04005516S"|"EXTRAZONA"|"HANA INTERNATIONAL HARDWARE MANUFACTURE CO., LIMITED"|354487594|0|36385.0|"PR220118"|15560.0|83.69|52028.69|52028.69|6813.31|"DOLAR"|"IC04"|"FOB"|92902262|84854001|8048261|"OCHO MILLON CUARENTA Y OCHO MIL DOSCIENTOS SESENTA Y UN "|"NINGUNA"|"OTROS"|0|26.207479069070043
48|"IMPORTACIÓN"|"2022-05-31"|"IMPORTADORA DEALER SOCIEDAD ANONIMA"|"-"|"CONTROL REMOTO"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"AEREO"|"AEROP. SILVIO PETTIROSSI"|"TAMPA CARGO S.A."|"F.C.L."|"22002IM04005115Y"|"EXTRAZONA"|"SHENZHEN HE SHAN ELECTRONIC TECHNOLOGY GP., LTD"|11927040|0|1345.0|"ES2022050501"|392.1|13.45|1750.55|1750.55|6813.31|"DOLAR"|"IM04"|"FCA"|3759508|353998|3405510|"TRES MILLON CUATROCIENTOS CINCO MIL QUINIENTOS DIEZ "|"NINGUNA"|"OTROS"|0|31.520880285468984
46|"IMPORTACIÓN"|"2022-05-30"|"SANTA ANA TEXTIL S.A."|"-"|"QUIMICOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PUENTE - CDE"|"BTR"|"L.C.L."|"22005IC04011020W"|"MERCOSUR (INTRAZONA)"|"AKMEY BRASIL INDUSTRIA E COMERCIO DE PROD. QUIMICOS S.A."|34068283|0|4543.98|"008.2022"|375.0|45.44|4964.42|4964.42|6862.49|"DOLAR"|"IC04"|"FCA"|6974301|3804681|3169620|"TRES MILLON CIENTO SESENTA Y NUEVE MIL SEISCIENTOS VEINTE "|"NINGUNA"|"OTROS"|0|20.471536531500576
45|"IMPORTACIÓN"|"2022-05-30"|"REFRINAR S.R.L."|"-"|"CONDENSADOR "|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANSLIBERDADE LOGISTICA S.A."|"F.C.L."|"22005IC04011037H"|"MERCOSUR (INTRAZONA)"|"ELGIN HDB REFRIGERACAO LTDA"|128272893|0|17600.8|"20226064"|1050.0|176.01|18826.81|18826.81|6813.31|"DOLAR"|"IC04"|"EXW"|19492836|14219647|5273189|"CINCO MILLON DOSCIENTOS SETENTA Y TRES MIL CIENTO OCHENTA Y NUEVE "|"NINGUNA"|"OTROS"|0|15.19637979943276
43|"IMPORTACIÓN"|"2022-05-30"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANS FY"|"F.C.L."|"22005IC04010983Z"|"MERCOSUR (INTRAZONA)"|"GERALDO N. RECKTENWALD & CIA LTDA"|342014770|0|47760.91|"016PY72022"|1550.0|477.61|49788.52|49788.52|6869.35|"DOLAR"|"IC04"|"FCA"|44967611|0|44967611|"CUARENTA Y CUATRO MILLONES NOVECIENTOS SESENTA Y SIETE MIL SEISCIENTOS ONCE "|"NINGUNA"|"OTROS"|0|13.147856450760884
42|"IMPORTACIÓN"|"2022-05-26"|"ELECTRO PARANA SRL"|"-"|"JARRAS ELECTRICAS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"FLUVIAL"|"TERPORT"|"COMPAÑIA DE NAVEGACION YSYRY "|"F.C.L."|"22038IC04005438V"|"EXTRAZONA"|"ZHANJIANG WEIKE IMPOR AND EXPORT CO;LTD"|229148649|0|20452.5|"QE20210924-04B"|13120.0|60.0|33632.5|33632.5|6813.31|"DOLAR"|"IC04"|"FOB"|49181767|43646921|5534846|"CINCO MILLON QUINIENTOS TREINTA Y CUATRO MIL OCHOCIENTOS CUARENTA Y SEIS "|"NINGUNA"|"OTROS"|0|21.462822152619367
40|"EXPORTACIÓN"|"2022-05-25"|"SANTA ANA TEXTIL S.A."|"-"|"PRODUCTOS TEXTILES"|"BRASIL "|"TERRESTRE"|"CAMPESTRE"|"OCACIONAL"|"F.C.L."|"22023EC01002080V"|"MERCOSUR (INTRAZONA)"|"ZANETTE IMPORTACAO E EXPORTACAO LTDA"|451011168|0|65858.16|"001-002-0000222"|0.0|0.0|65858.16|65858.16|6848.22|"DOLAR"|"EC01"|"FCA"|3559798|0|3559798|"TRES MILLON QUINIENTOS CINCUENTA Y NUEVE MIL SETECIENTOS NOVENTA Y OCHO "|"NINGUNA"|"OTROS"|0|0.7892926500658183
39|"IMPORTACIÓN"|"2022-05-25"|"SANTA ANA TEXTIL S.A."|"-"|"HILOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PUENTE - CDE"|"ENS S.A."|"F.C.L."|"22005IC04010686Z"|"MERCOSUR (INTRAZONA)"|"HYOSUNG BRASIL IND. E COM. DE FIBRAS LTDA"|242713861|0|33384.96|"HSBR220511-4"|1650.0|333.85|35368.81|35368.81|6862.37|"DOLAR"|"IC04"|"EXW"|32016764|26597004|5419760|"CINCO MILLON CUATROCIENTOS DIECINUEVEMIL SETECIENTOS SESENTA "|"NINGUNA"|"OTROS"|0|13.19115598428884
37|"IMPORTACIÓN"|"2022-05-20"|"SANTA ANA TEXTIL S.A."|"-"|"HILOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PUENTE - CDE"|"ENS S.A."|"F.C.L."|"22005IC04010303C"|"EXTRAZONA"|"HUZHOU ZHONGYUE CHEMICAL FIBER CO., LTD"|523719790|0|69600.38|"ZU22012701J"|6570.78|696.0|76867.16|76867.16|6813.31|"DOLAR"|"IC04"|"CIF"|72986347|57635348|15350999|"QUINCE MILLONES TRECIENTOS CINCUENTA MIL NOVECIENTOS NOVENTA Y NUEVE "|"CRT CON CUATRO CARRETAS.-----"|"DERECHO ADUANERO MP LIBERADO "|94664583|13.936144555469252
35|"IMPORTACIÓN"|"2022-05-24"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANS FY"|"L.C.L."|"22005IM04000231L"|"MERCOSUR (INTRAZONA)"|"INDUSTRIA DE MAQUINAS E IMPLEMENTOS AGRICOLAS KF LTDA"|7644205|0|338.88|"12/2022"|775.0|3.39|1117.27|1117.27|6841.86|"DOLAR"|"IM04"|"EXW"|2775452|0|2775452|"DOS MILLON SETECIENTOS SETENTA Y CINCO MIL CUATROCIENTOS CINCUENTA Y DOS "|"NINGUNA"|"OTROS"|0|36.307922144945096
34|"IMPORTACIÓN"|"2022-05-20"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANS FY"|"F.C.L."|"22005IC04010326H"|"MERCOSUR (INTRAZONA)"|"INDUSTRIA DE MAQUINAS E IMPLEMENTOS AGRICOLAS KF LTDA"|550228539|0|78090.0|"13/2022"|1550.0|780.9|80420.9|80420.9|6841.86|"DOLAR"|"IC04"|"EXW"|69005861|0|69005861|"SESENTA Y NUEVE MILLONES CINCO MIL OCHOCIENTOS SESENTA Y UN "|"NINGUNA"|"OTROS"|0|12.541308948716672
33|"IMPORTACIÓN"|"2022-05-20"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANS FY"|"L.C.L."|"22005IC04010324F"|"MERCOSUR (INTRAZONA)"|"INDUSTRIA DE MAQUINAS E IMPLEMENTOS AGRICOLAS KF LTDA"|560083212|0|80283.42|"11/2022"|775.0|802.83|81861.25|81861.25|6841.86|"DOLAR"|"IC04"|"EXW"|71196509|0|71196509|"SETENTA Y UN MILLONES CIENTO NOVENTA Y SEIS MIL QUINIENTOS NUEVE "|"NINGUNA"|"OTROS"|0|12.711773442693369
32|"IMPORTACIÓN"|"2022-05-18"|"IMPORTADORA DEALER "|"-"|"MAQ INYECTORAS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"AEREO"|"CODESA"|"LA PARAGUAYA DE CARGAS S.A."|"F.C.L."|"22029IC04001134K"|"EXTRAZONA"|"TAIAN DONGTAI MACHINE MANUFACTURING CO.,LTD"|106080171|580|12100.0|"DTS20220206"|2835.0|54.55|14989.55|15569.55|6813.31|"DOLAR"|"IC04"|"FOB"|20552684|12197047|8355637|"OCHO MILLON TRECIENTOS CINCUENTA Y CINCO MIL SEISCIENTOS TREINTA Y SIETE "|"NINGUNA"|"OTROS"|0|19.374670879819753
29|"IMPORTACIÓN"|"2022-05-17"|"REFRINAR S.R.L."|"-"|"EVAPORADORES "|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANSLIBERDADE LOGISTICA S.A."|"F.C.L."|"22005IC04009800M"|"MERCOSUR (INTRAZONA)"|"ELGIN HDB REFRIGERACAO LTDA"|76153240|0|9921.2|"20226018"|1050.0|99.21|11070.41|11070.41|6878.99|"DOLAR"|"IC04"|"EXW"|12158822|8733754|3425068|"TRES MILLON CUATROCIENTOS VEINTE Y CINCO MIL SESENTA Y OCHO "|"NINGUNA"|"OTROS"|0|15.966256983944477
25|"IMPORTACIÓN"|"2022-05-12"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANS FY"|"F.C.L."|"22005IC04009558W"|"MERCOSUR (INTRAZONA)"|"GERALDO N. RECKTENWALD & CIA LTDA"|233738360|0|32091.72|"013PY/2022"|1550.0|320.92|33962.64|33962.64|6882.22|"GUARANÍ"|"IC04"|"FCA"|31522584|0|31522584|"TREINTA Y UN MILLONES QUINIENTOS VEINTE Y DOS MIL QUINIENTOS OCHENTA Y CUATRO "|"NINGUNA"|"OTROS"|0|13.486269006080132
